Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USD,Cumulative P&L %
8,Entry short,19/08/2020 08:00,Short,3.03,1682.197,5097.05691,-84.11,-1.65,353.26,6.93,-252.33,-4.95,-2394.55,-2.39
9,Exit long,21/08/2020 07:00,Stop Hit,3.06,3063.178,9587.74714,-214.42,-2.24,980.22,10.22,-398.21,-4.15,-2608.97,-2.61
9,Entry long,20/08/2020 11:30,Long,3.13,3063.178,9587.74714,-214.42,-2.24,980.22,10.22,-398.21,-4.15,-2608.97,-2.61
10,Exit short,22/08/2020 13:30,Short Exit,2.91,2820.485,8602.47925,394.87,4.59,874.35,10.16,-169.23,-1.97,-2214.1,-2.21
10,Entry short,21/08/2020 16:30,Short,3.05,2820.485,8602.47925,394.87,4.59,874.35,10.16,-169.23,-1.97,-2214.1,-2.21
11,Exit long,23/08/2020 14:00,Long Exit,3.03,3264.365,10184.8188,-293.79,-2.88,554.94,5.45,-457.01,-4.49,-2507.89,-2.51
11,Entry long,22/08/2020 19:00,Long,3.12,3264.365,10184.8188,-293.79,-2.88,554.94,5.45,-457.01,-4.49,-2507.89,-2.51
12,Exit long,24/08/2020 20:00,Long Exit,3.33,3677.087,12134.3871,110.31,0.91,1176.67,9.7,-404.48,-3.33,-2397.58,-2.4
12,Entry long,23/08/2020 17:30,Long,3.3,3677.087,12134.3871,110.31,0.91,1176.67,9.7,-404.48,-3.33,-2397.58,-2.4
13,Exit short,25/08/2020 20:00,Short Exit,3.21,2966.967,9464.62473,-59.34,-0.63,563.72,5.96,-178.02,-1.88,-2456.92,-2.46
13,Entry short,25/08/2020 04:00,Short,3.19,2966.967,9464.62473,-59.34,-0.63,563.72,5.96,-178.02,-1.88,-2456.92,-2.46
14,Exit long,27/08/2020 03:30,Long Exit,3.49,3019.915,10207.3127,332.19,3.25,1268.36,12.43,-301.99,-2.96,-2124.73,-2.12
14,Entry long,26/08/2020 04:30,Long,3.38,3019.915,10207.3127,332.19,3.25,1268.36,12.43,-301.99,-2.96,-2124.73,-2.12
15,Exit long,27/08/2020 13:00,Stop Hit,3.41,2454.535,9204.50625,-834.54,-9.07,270,2.93,-1104.54,-12,-2959.27,-2.96
15,Entry long,27/08/2020 08:30,Long,3.75,2454.535,9204.50625,-834.54,-9.07,270,2.93,-1104.54,-12,-2959.27,-2.96
16,Exit short,28/08/2020 03:30,Short Exit,3.7,2048.27,6984.6007,-594,-8.5,348.21,4.99,-798.83,-11.44,-3553.27,-3.55
16,Entry short,27/08/2020 13:00,Short,3.41,2048.27,6984.6007,-594,-8.5,348.21,4.99,-798.83,-11.44,-3553.27,-3.55
17,Exit long,29/08/2020 07:30,Long Exit,3.86,2239.109,8822.08946,-179.13,-2.03,828.47,9.39,-291.08,-3.3,-3732.4,-3.73
17,Entry long,28/08/2020 13:00,Long,3.94,2239.109,8822.08946,-179.13,-2.03,828.47,9.39,-291.08,-3.3,-3732.4,-3.73
18,Exit long,30/08/2020 23:30,Long Exit,4.43,2800.864,11539.55968,868.27,7.52,1652.51,14.32,0,0,-2864.13,-2.86
18,Entry long,30/08/2020 06:30,Long,4.12,2800.864,11539.55968,868.27,7.52,1652.51,14.32,0,0,-2864.13,-2.86
19,Exit long,01/09/2020 13:30,Long Exit,4.58,2238.038,10720.20202,-469.99,-4.38,358.09,3.34,-649.03,-6.05,-3334.12,-3.33
19,Entry long,31/08/2020 21:00,Long,4.79,2238.038,10720.20202,-469.99,-4.38,358.09,3.34,-649.03,-6.05,-3334.12,-3.33
20,Exit short,03/09/2020 01:00,Short Exit,4.17,2668.079,11846.27076,720.38,6.08,2081.1,17.57,-26.68,-0.23,-2613.74,-2.61
20,Entry short,02/09/2020 00:30,Short,4.44,2668.079,11846.27076,720.38,6.08,2081.1,17.57,-26.68,-0.23,-2613.74,-2.61
21,Exit long,03/09/2020 13:30,Stop Hit,3.7,1758.677,7685.41849,-1178.31,-15.33,158.28,2.06,-1266.25,-16.48,-3792.05,-3.79
